text,human_label,llm_label,disagreement,vader_compound,sarcasm,slang,hedging,mixed_sentiment,implicit_meaning
"Meanwhile, on the Republican side, Trump kept rolling, winning West Virginia and Nebraska.",positive,negative,True,0.5267,False,False,False,False,False
The filing on Tuesday indicates Gates' cooperation with the special counsel team could be yielding good information -- as it pursues charges against former Trump campaign chairman Paul Manafort.,negative,neutral,True,0.5423,False,False,False,False,True
Their baby boxes have been used three times since April 2016.,neutral,negative,True,0.0,False,False,False,False,False
Erdogan's End Game NPR's David Greene speaks with international relations professor Fawaz Gerges about Turkish President Recep Tayyip Erdogan's handling of the killing of Saudi journalist Jamal Khashoggi.,neutral,neutral,False,-0.6597,False,False,False,False,True
"I mean, in some ways, Audie, the Trump strikes demonstrate what Obama was saying.",neutral,neutral,False,-0.3612,False,False,True,False,True
The former Texas congressman added that he also favors making public colleges and universities tuition free as well.,positive,neutral,True,0.7506,False,False,False,False,False
"READ MORE: Attorney General Jeff Sessions chuckles as teens chant 'lock her up' at leadership forum » When I saw the attorney general in that video, I felt sick to my stomach.",negative,negative,False,-0.296,False,False,False,True,True
"The announcement, less than two weeks before the election, left Mrs. Clinton’s team furious and scrambling for explanations while bolstering the spirits of Donald J. Trump after a wave of controversies and Republican defections had led many to write him off.",negative,neutral,True,-0.7351,False,False,False,True,True
The Sun newspaper said on Tuesday that British government officials had urged Harry not to invite the Obamas to his wedding for fear of angering Trump.,neutral,negative,True,-0.781,False,False,False,False,True
"Here, it seemed, was the opéra bouffe climax of Mr. Trump’s campaign against the media, a bizarro-world spectacle that both encapsulated and parodied the president’s animus toward a major democratic institution.",negative,negative,False,0.0,False,False,True,False,True
"CLOSE White House counselor Kellyanne Conway is taking verbal jabs at House Speaker Nancy Pelosi following a White House meeting that dissolved into rancor, Wednesday.",negative,negative,False,0.0,False,False,False,False,False
"“We are certainly looking at it,” Hickenlooper said.",neutral,neutral,False,0.34,False,False,True,False,False
"But maybe he would have won, and if he did win, he would have emboldened others in his party, and outside his party, to follow his example.",positive,neutral,True,0.9604,False,False,False,False,True
"On Monday, through his spokesman, Mr. Morsi again tried to explain his intentions, saying he would work within judicial precedents to hold back efforts to dissolve the constituent assembly, rather than putting his power above judicial scrutiny.",neutral,neutral,False,0.0,False,False,True,False,True
President Trump frequently slams the press for its coverage of him and in March suggested changing libel laws.,negative,negative,False,0.0,False,False,False,False,False
That is why President Trump was right to fire Acting Attorney General Sally Yates.,positive,negative,True,-0.34,False,False,False,False,False
"Obama will offer ""some new ideas"" when he discusses his practical plan for economic growth, campaign officials said, and will also address other issues like education and clean energy.",positive,neutral,True,0.836,False,False,False,False,False
"While Muscat’s administration survived that scandal, investigative journalist Daphne Caruana Galizia this April alleged that another offshore shell company belonged to Muscat’s wife and was used to accept payments.",negative,negative,False,0.4588,False,False,True,False,True
"The writer of Wasted: Tales of a Gen X Drunk is alleged to have been present when the supreme court nominee committed sexual assault In the allegations of sexual assault against Brett Kavanaugh, one other name recurs: Mark Judge.",negative,neutral,True,-0.8176,False,False,True,False,True
"President Barack Obama spoke out on the crisis in Egypt on Thursday, saying he's ""concerned"" by recent events.",positive,neutral,True,-0.6249,False,False,False,False,False
"( Also on POLITICO: McConnell, Reid elected to top posts in Senate) Boehner said Republicans would fight the administration “tooth and nail.”",neutral,negative,True,-0.2023,False,False,False,False,False
"Story Continued Below “I think a smoking gun would certainly help, if you actually did have that specific thing that is unlikely to be out there or unlikely to be found, where someone gave a specific direction and you know that happened,” Blunt said.",neutral,neutral,False,0.4019,False,False,True,False,True
"In February, during a stop at Mar-a-Lago, Mr. Trump’s golf club in Palm Beach, Fla., Eduardo Bolsonaro reminisced about his days working as a federal police officer along Brazil’s border with Bolivia as he hailed the White House’s bid to build a wall along the Mexican border.",positive,neutral,True,-0.0772,False,False,False,False,True
"Despite Mr. Christie’s claims to the contrary, many saw an inescapable link to the temperamental governor, whose emotional outbursts at those who challenge him in public are a hallmark of his governing style.",negative,negative,False,0.2263,False,False,True,False,True
"She called Trump a ""man who inherited a fortune from his father” and cares only for himself.",negative,negative,False,0.4588,False,False,False,False,True
He tweeted: “Utterly ashamed to be represented by this vile woman.,negative,negative,False,-0.8391,False,False,False,True,True
Obama spoke to Harry in an interview conducted by the prince as a guest editor for BBC radio’s daily morning news show and focused on their shared interest in promoting causes.,positive,neutral,True,0.8591,False,False,False,False,False
"Mrs. Pelosi, the highest-ranking woman in American politics, said problems go beyond Ms. Pierson, who was put in charge of the Secret Service after a scandal involving agents who hired prostitutes in Cartagena in 2012.",positive,neutral,True,-0.6808,False,False,False,False,True
Trump Continues Hammering McConnell Over Healthcare Failure,negative,negative,False,-0.5106,False,False,False,False,False
"He’s an icon who reportedly settled a sexual harassment complaint for about $30,000.",negative,neutral,True,-0.6908,False,False,True,False,True
"McCarthy continued to question Mueller’s investigation until Bash confronted him for parroting “talking points,” asking him again whether he’s concerned that the White House “lied.”",positive,negative,True,-0.2023,False,False,False,False,True
“Santos is facing local charges for assault and other offenses.,negative,negative,False,-0.8126,False,False,False,False,True
Cardinal Theodore McCarrick punished over abuse finding,negative,negative,False,-0.802,False,False,False,False,False
“It is plain to the defense team that something is not right with Mr. Guzman.”,negative,negative,False,0.128,False,False,False,False,True
"To be fair to Baker, he is right – at least about the microwave.",positive,neutral,True,0.3182,False,False,False,False,False
"Writing in the paper, MP Will Quince has announced he is stepping down as a ministerial aide in the Ministry of Defence over Mrs May's deal, calling on her to ""find another way"".",negative,negative,False,0.1027,False,False,True,False,True
San Francisco District Attorney George Gascon speaks at a news conference at City Hall in San Francisco.,neutral,neutral,False,0.0,False,False,False,False,False
"Larson identifies himself as a ""quasi-neoreactionary libertarian.""",neutral,neutral,False,0.2263,False,False,False,False,False
"Okay, not the Patrick Henry, but the closest thing to the “Voice of the Revolution” here in 2017.",positive,negative,True,0.1154,False,False,False,False,False
Dianne Feinstein: Obama 'Too Cautious' On ISIS,neutral,negative,True,-0.1027,False,False,False,False,False
The death of Saudi Arabia's King Abdullah early Friday has launched an uncertain new era for U.S. officials to negotiate amid the spreading influence of Iran and the ongoing battle to roll back gains made by the Islamic State terror group in Iraq and Syria.,neutral,neutral,False,-0.8481,False,False,False,False,True
"Martyn Hill, Burnett's personal attorney, described Cobb as an experienced, cautious pilot who had ""survived many battles.""",positive,neutral,True,0.0772,False,False,False,False,False
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",negative,negative,False,0.0018,True,False,False,False,True
"Retired Oakland County Circuit Judge Jack McDonald, who sentenced Nancy Seaman, is advocating for her release from prison.",neutral,neutral,False,-0.5267,False,False,False,False,False
Patrick told NBC on Sunday that surveillance video clearly puts Dzhokhar Tsarnaev at the scene of the attack.,negative,negative,False,-0.1027,False,False,False,False,True
He raised the gun and started firing.,negative,negative,False,-0.5859,False,False,False,False,False
"In many ways, Roland Jackson has done a great service in his detailed and careful presentation of John Tyndall’s life at a time when science is under attack, neglected and misunderstood, especially by those in government.",positive,positive,False,-0.4939,False,False,False,False,True
He didn't think Texas Sen.,neutral,neutral,False,0.0,False,False,False,False,False
"Mr Bolsonaro's populist approach has led to some media dubbing him ""Trump of the Tropics"".",negative,negative,False,0.0,False,False,False,False,True
"LinkedIn co-founder and venture capitalist Reid Hoffman is joining forces with a group of Obama administration officials to launch an initiative aimed at storing “all of the progressive community’s voter data,” according to a report released Monday.",positive,negative,True,0.0,False,False,False,False,True
"“This new and improved approach will make the criteria for clemency recommendation more expansive,” Holder said.",neutral,neutral,False,0.4767,False,False,False,False,False
"Appearing before thousands of supporters in front of a fog-shrouded Golden Gate Bridge late on Monday, Sanders implored supporters to turn out for a contest he described as “the most important primary that we’ve had in the entire Democratic nomination process”.",positive,neutral,True,0.7841,False,False,False,False,False
He had a really good debate.,positive,positive,False,0.4927,False,False,False,False,False
Those who don’t believe Moore is qualified support Strange 82-6%.,negative,neutral,True,0.2263,False,False,False,False,False
"Mr. Flanagan, 41, who went by the name Bryce Williams in recent years, had not been convicted of a crime or adjudicated mentally ill, so he apparently passed a background check in June, when he bought the Glock 19 handgun used in the killings.",negative,negative,False,-0.8957,False,False,True,False,True
"“I will miss her strong leadership, good humor, intelligence and integrity.",positive,neutral,True,0.9081,False,False,False,False,False
She specifically said Trump will fight to change laws in order to address these problems for working women.,positive,neutral,True,-0.6486,False,False,False,False,False
- Colorado: A Quinnipiac poll earlier this month showed Romney registering his first lead in the state.,positive,neutral,True,0.0,False,False,False,False,True
“Nancy Pelosi was a great speaker.,positive,positive,False,0.6249,False,False,False,False,False
"""Every day I must report to the police station to sign in,"" she says.",neutral,negative,True,0.0,False,False,False,False,False
